,SMILES,Genotoxicity(0.5기준)
225,[Mn++].[O-][N+]([O-])=O.[O-][N+]([O-])=O,0
226,OC(=O)CC1=CC=CC=C1,0
227,CN(C)CC1=CC=CC=C1,0
228,CC(CC1=CC=C(C=C1)C(C)C)C=O,0
229,[Cu+].CCCCCCCC\C=C/CCCCCCCC([O-])=O,0
230,OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O,1
231,CC1=CC=C2OC(C=CC3=NC4=CC(C)=CC=C4O3)=NC2=C1,0
232,N[C@@H](CC1=CC(I)=C(OC2=CC=C(O)C=C2)C(I)=C1)C(O)=O,0
233,CC(=O)O[C@H]1CC[C@H](CC1)C(C)(C)C,0
234,ClC1=CC=C(C=C1)N=C=O,0
235,CC1=CC=C(C=C1)S(O)(=O)=O,0
236,CN(C)CCN1CCN(C)CC1,0
237,COC1=CC=C(CCC(C)=O)C=C1,0
238,COC(=O)CC(C(C)=O)C(=O)OC,0
239,COC1=CC=C(COC(C)=O)C=C1,0
240,NC1=CC=C(C=C1)N=NC1=CC=C(C=C1)S(O)(=O)=O,0
241,OC1=C(O)C=C(C=C1)C(=O)C1=CC=CC=C1,0
242,OCC(O)COC1=CC=C(Cl)C=C1,0
243,CCC1=NCCO1,0
244,CCCC1CCC(CC1)C1CCC(CC1)C=O,0
245,OCCOC1=CC=C(OCCO)C=C1,0
246,CCCC1=CC=C(OC)C=C1,0
247,O[I](O)(O)(O)(O)=O,1
248,CCCCC1CCC(=O)O1,0
249,ClCCCC1=CC=CC=C1,0
250,O=COCC1=CC=CC=C1,0
251,CCCCCC1CCC(=O)O1,0
252,NC1CCC2=C(C1)SC(=N)N2,1
253,Br.CC(=O)NC1CCC2=C(C1)SC(N)=N2,1
254,O=COCC=CC1=CC=CC=C1,0
255,C(COC1=CC=CC=C1)OC1=CC=CC=C1,0
256,CCCCCCCC1CCC(=O)O1,0
257,OCCOCCOC1=CC=CC=C1,0
258,O=C1C2=CC3=C(C=C2NC2=C1C=CC=C2)C(=O)C1=C(N3)C=CC=C1,0
259,[Cl-].CCCCCCCCCCCC[N+]1=CC=CC=C1,0
260,CCCCC(CC)CN,0
261,CC(CCl)OP(=O)(OCC(CCl)(CCl)COP(=O)(OC(C)CCl)OC(C)CCl)OC(C)CCl,0
262,CCCCC(CC)CO,0
263,[Cl-].[Cl-].[Sr++],0
264,CCN(CC)CCCN,0
265,[NH4+].ClC1=CC=C2[O-][Fe+3]3456[O-]C7=CC=C(Cl)C=C7[N]3=NC3=C7C=CC=CC7=CC(C(=O)NC7=CC=CC=C7)=C3[O-]4.O=C(NC3=CC=CC=C3)C3=C([O-]5)C(N=[N]6C2=C1)=C1C=CC=CC1=C3,0
266,CC1=CC[C@H](CC1)C(C)(C)O,1
267,ClCC1=CC=C(Cl)C=C1,0
268,CC1=CC=C(C=O)C=C1,0
269,ClC1=CC=C(C=O)C=C1,0
270,[Rh+3].[Rh+3].[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O.[O-]S([O-])(=O)=O,0
271,CCC1=CN=C(C)C=C1,0
272,OC1=CC=C(C=C1)N=O,1
273,COC1=CC=C(Br)C=C1,0
274,FC(F)=C(F)OC(F)(F)C(F)(F)F,0
275,COC1=CC=C(C)C=C1,0
276,COC1=CC=C(N)C=C1,1
277,CCC1=CC=C(CC)C=C1,0
278,C=CC1=CC=C(C=C)C=C1,0
279,COCCN(CCOC)C1=CC=C(N=NC2=C3C=C(C=CC3=NS2)[N+]([O-])=O)C(NC(C)=O)=C1,0
280,CCC(C)(C)OOC(C)(C)CC,1
281,OCC1CCC(CO)CC1,0
282,ON=C1C=CC(C=C1)=NO,0
283,COC1=CC=C(CO)C=C1,0
284,CCN(CC)CCOC(=O)C(C)=C,0
285,CC(=O)OC1CCC2CCCCC2C1,0
286,CCCC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CCCOCCOC(=O)C(C)=C,0
287,CCCC1CCC(=O)O1,0
288,NC1=CC=C(\N=N/C2=CC(=CC=C2)\N=N\C2=CC=C(N)C=C2N)C(N)=C1,1
289,CC(O)CCC1CCCCC1,0
290,COC(=O)CC#N,0
291,CCOC(=O)CC,0
292,CCC(=O)OC=C,0
293,CCOC(=O)CCl,0
294,CC(=O)N(CCN(C(C)=O)C(C)=O)C(C)=O,0
295,CC(C)CC(C)=NO,0
296,[O-][N+](=O)[N+]([O-])=O,1
297,COC(=O)CC(C)=O,0
298,CCCC(=O)OCC,0
299,CCOC(C)OCC,0
300,CCOC(=O)OCC,0
301,CN(CCO)CCO,0
302,O=C1CCCCCN1,0
303,NCCCNCCNCCCN,0
304,CN(C)CCCNCCCN,0
305,CC(C)OC(=O)OOC(=O)OC(C)C,1
306,CC(C)OC(=O)OOC(=O)SC(C)C,0
307,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC,0
308,CCCCOC(=O)\C=C\C(=O)OCCCC,0
309,CCCCOC(=O)\C=C/C(=O)OCCCC,0
310,CN(CCCN)CCCN,0
311,CC(CCOC=O)CCC=C(C)C,0
312,CCCCCCCCCCCCCOC(=O)C(C)(C)C,0
313,CC(C)=CCC\C(C)=C\COC=O,0
314,CC(C)=CCC\C(C)=C\COC(C)=O,0
315,[Na+].[Na+].OC1=CC(=CC2=C1C(O)=C(\N=N\C1=C(O)C=CC(Cl)=C1)C(=C2)S([O-])(=O)=O)S([O-])(=O)=O,1
316,CN(C(=S)SSC(=S)N(C)C1=CC=CC=C1)C1=CC=CC=C1,0
317,S=C(SSC(=S)N(CC1=CC=CC=C1)CC1=CC=CC=C1)N(CC1=CC=CC=C1)CC1=CC=CC=C1,0
318,CC(=C)C(=O)OCCOC1=CC=CC=C1,0
319,O=C1CCCCCCCCCCCC(=O)OCCO1,0
